,question,summary,link,answers
15,Web scraping with Java,I'm not able to find any good web scraping Java based API. The site which I need to scrape does not provide any API as well; I want to iterate over all web pages using some pageID and extract the HTML ...,https://stackoverflow.com/questions/3202305/web-scraping-with-java,". I'm not able to find any good web scraping Java based API. The site which I need to scrape does not provide any API as well; I want to iterate over all web pages using some pageID and extract the HTML titles / other stuff in their DOM trees.. Extracting the title is not difficult, and you have many options, search here on Stack Overflow for ""Java HTML parsers"". One of them is Jsoup.. Your best bet is to use Selenium Web Driver since it. HTMLUnit can be used to do web scraping, it supports invoking pages, filling & submitting forms. I have used this in my project. It is good java library for web scraping.
read here for more. mechanize for Java would be a good fit for this, and as Wadjy Essam mentioned it uses JSoup for the HMLT. mechanize is a stageful HTTP/HTML client that supports navigation, form submissions, and page scraping.. There is also Jaunt Java Web Scraping & JSON Querying - http://jaunt-api.com. You might look into jwht-scrapper!. Look at an HTML parser such as TagSoup, HTMLCleaner or NekoHTML.. If you wish to automate scraping of large amount pages or data, then you could try Gotz ETL. . For tasks of this type I usually use Crawller4j + Jsoup.. Normally I use selenium, which is software for testing automation.
You can control a browser through a webdriver, so you will not have problems with javascripts and it is usually not very detected if you use the full version. Headless browsers can be more identified."
16,Web Scraping in a Google Chrome Extension (JavaScript + Chrome APIs),What are the best options for performing Web Scraping of a not currently open tab from within a Google Chrome Extension with JavaScript and whatever more technologies are available. Other JavaScript-...,https://stackoverflow.com/questions/6508393/web-scraping-in-a-google-chrome-extension-javascript-chrome-apis,". What are the best options for performing Web Scraping of a not currently open tab from within a Google Chrome Extension with JavaScript and whatever more technologies are available. Other JavaScript-libraries are also accepted.. Attempt to use XHR2 responseType = ""document"" and fall back on (new DOMParser).parseFromString(responseText, getResponseHeader(""Content-Type"")) with my text/html patch. See https://gist.github.com/1138724 for an example of how I detect responseType = ""document support (synchronously checking response === null on an object URL created from a text/html blob).. If you are fine looking at something beyond a Google Chrome Plugin, look at phantomjs which uses Qt-Webkit in background and runs just like a browser incuding making ajax requests. You can call it a headless browser as it doesn't display the output on a screen and can quitely work in background while you are doing other stuff. If you want, you can export out images, pdf out of the pages it fetches. It provides JS interface to load pages, clicking on buttons etc much like you have in a browser. You can also inject custom JS for example jQuery on any of the pages you want to scrape and use it to access the dom and export out desired data. As its using Webkit its rendering behaviour is exactly like Google Chrome.. A lot of tools have been released since this question was asked.. Web scraping is kind of convoluted in a Chrome Extension. Some points:. I'm not sure it's entirely possible with just JavaScript, but if you can set up a dedicated PHP script for your extension that uses cURL to fetch the HTML for a page, the PHP script could scrape the page for you and your extension could read it in through an AJAX request.. I think you can start from this example.. couldn't you just do some iframe trickery? if you load the url into a dedicated frame, you have the dom in a document object and can do your jquery selections, no?"
17,How to run Scrapy from within a Python script,"I'm new to Scrapy and I'm looking for a way to run it from a Python script. I found 2 sources that explain this:

http://tryolabs.com/Blog/2011/09/27/calling-scrapy-python-script/

http://snipplr.com/...",https://stackoverflow.com/questions/13437402/how-to-run-scrapy-from-within-a-python-script,". I'm new to Scrapy and I'm looking for a way to run it from a Python script. I found 2 sources that explain this:. All other answers reference Scrapy v0.x. According to the updated docs, Scrapy 1.0 demands:. Though I haven't tried it I think the answer can be found within the scrapy documentation. To quote directly from it:. In scrapy 0.19.x you should do this:. Simply we can use. When there are multiple crawlers need to be run inside one python script, the reactor stop needs to be handled with caution as the reactor can only be stopped once and cannot be restarted. . it  is an improvement of
Scrapy throws an error when run using crawlerprocess. Put this code to the path you can run scrapy crawl abc_spider from command line. (Tested with Scrapy==0.24.6). If you want to run a simple crawling, It's easy by just running command: "
18,Is it ok to scrape data from Google results? [closed],"I'd like to fetch results from Google using curl to detect potential duplicate content.
Is there a high risk of being banned by Google?",https://stackoverflow.com/questions/22657548/is-it-ok-to-scrape-data-from-google-results,". 
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                . Google will eventually block your IP when you exceed a certain amount of requests. . Google disallows automated access in their TOS, so if you accept their terms you would break them.. Google thrives on scraping websites of the world...so if it was ""so illegal"" then even Google won't survive ..of course other answers mention ways of mitigating IP blocks by Google. One more way to explore avoiding captcha could be scraping at random times (dint try) ..Moreover, I have a feeling, that if we provide novelty or some significant processing of data then it sounds fine at least to me...if we are simply copying a website.. or hampering its business/brand in some way...then it is bad and should be avoided..on top of it all...if you are a startup then no one will fight you as there is no benefit.. but if your entire premise is on scraping even when you are funded then you should think of more sophisticated ways...alternative APIs..eventually..Also Google keeps releasing (or depricating)  fields for its API so what you want to scrap now may be in roadmap of new Google API releases.."
19,How to manage a 'pool' of PhantomJS instances,"I'm planning a webservice for my own use internally that takes one argument, a URL, and returns html representing the resolved DOM from that URL. By resolved I mean that the webservice will firstly ...",https://stackoverflow.com/questions/9961254/how-to-manage-a-pool-of-phantomjs-instances,". I'm planning a webservice for my own use internally that takes one argument, a URL, and returns html representing the resolved DOM from that URL. By resolved I mean that the webservice will firstly get the page at that URL, then use PhantomJS to 'render' the page, and then return the resulting source after all DHTML, AJAX calls etc are executed. However launching phantom on a per-request basis (which I'm doing now) is way too sluggish. I would rather have a pool of PhantomJS instances with one always available to serve the latest call to my webservice.. I setup a PhantomJs Cloud Service, and it pretty much does what you are asking.  It took me about 5 weeks of work implement.. The async JavaScript library works in Node and has a queue function that is quite handy for this kind of thing:. For my master thesis, I developed the library phantomjs-pool which does exactly this. It allows to provide jobs which are then mapped to PhantomJS workers. The library handles the job distribution, communication, error handling, logging, restarting and some more stuff. The library was successfully used to crawl more than one million pages.. As an alternative to @JasonS great answer you can try PhearJS, which I built. PhearJS is a supervisor written in NodeJS for PhantomJS instances and provides an API via HTTP. It is available open-source from Github.. if you are using nodejs why not use selenium-webdriver  . If you are using nodejs, you can use https://github.com/sgentle/phantomjs-node, which will allow you to connect an arbitrary number of phantomjs process to your main NodeJS process, hence, the ability to use async.js and lots of node goodies."
20,Scrape web pages in real time with Node.js,"What's a good was to scrape website content using Node.js. I'd like to build something very, very fast that can execute searches in the style of kayak.com, where one query is dispatched to several ...",https://stackoverflow.com/questions/5211486/scrape-web-pages-in-real-time-with-node-js,". What's a good was to scrape website content using Node.js. I'd like to build something very, very fast that can execute searches in the style of kayak.com, where one query is dispatched to several different sites, the results scraped, and returned to the client as they become available.. Node.io seems to take the cake :-). All aforementioned solutions presume running the scraper locally. This means you will be severely limited in performance (due to running them in sequence or in a limited set of threads). A better approach, imho, is to rely on an existing, albeit commercial, scraping grid.. I've been doing research myself, and https://npmjs.org/package/wscraper boasts itself as a. You don't always need to jQuery. If you play with the DOM returned from jsdom for example you can easily take what you need yourself (also considering you dont have to worry about xbrowser issues.) See: https://gist.github.com/1335009 that's not taking away from node.io at all, just saying you might be able to do it yourself depending.... Usually when you're scraping you want to use some method to. It is my easy to use general purpose scrapper https://github.com/harish2704/html-scrapper written for Node.JS
It can extract information based on predefined schemas.
A schema defnition includes a css selector and a data extraction function.
It currently using cheerio for dom parsing... check out https://github.com/rc0x03/node-promise-parser. I see most answers the right path with cheerio and so forth, however once you get to the point where you need to parse and execute JavaScript (ala SPA's and more), then I'd check out https://github.com/joelgriffith/navalia (I'm the author). Navalia is built to support scraping in a headless-browser context, and it's pretty quick. Thanks!"
21,Extracting an information from web page by machine learning,"I would like to extract a specific type of information from web pages in Python. Let's say postal address. It has thousands of forms, but still, it is somehow recognizable. As there is a large number ...",https://stackoverflow.com/questions/13336576/extracting-an-information-from-web-page-by-machine-learning,". I would like to extract a specific type of information from web pages in Python. Let's say postal address. It has thousands of forms, but still, it is somehow recognizable. As there is a large number of forms, it would be probably very difficult to write regular expression or even something like a grammar and to use a parser generator for parsing it out.. First, your task fits into the information extraction area of research. There are mainly 2 levels of complexity for this task:. tl;dr: The problem might solvable using ML, but it's not straightforward if you're new to the topic. As per i know there are two ways to do this task using machine learning approach.. Firstly, Machine Learning is not magic. These algorithms perform specific tasks, even if these can be a bit complex sometimes.. I would suggest you look at the field of information extraction. A lot of people have been researching how to do exactly what you're asking. There are some techniques for information extraction that are machine learning based, some techniques that are not machine learning based.. The approach needs to be a supervised learning algorithm (typically, they yield much better results than unsupervised or semi-supervised methods). Also, notice that you need to basically extract chunks of text. Intuitively, your algorithm needs to say something like, ""from this character onward, for the next three lines, is a postal address"".. I had built a solution exactly for this. My goal was to extract all the information related to competitions available on the internet. I used a tweak.
What I did is that I detected the pattern in which the information are listed on the websites. In my case, they were listed one by one below the order,
I detected that using the html table tags and got the information related to 
the competitions."
22,crawler vs scraper,Can somebody distinguish between a crawler and scraper in terms of scope and functionality.,https://stackoverflow.com/questions/3207418/crawler-vs-scraper,". Can somebody distinguish between a crawler and scraper in terms of scope and functionality.. A crawler gets web pages -- i.e., given a starting address (or set of starting addresses) and some conditions (e.g., how many links deep to go, types of files to ignore) it downloads whatever is linked to from the starting point(s).. Crawlers surf the web, following links.  An example would be the Google robot that gets pages to index.  Scrapers extract values from forms, but don't necessarily have anything to do with the web.. Web crawler gets links (Urls - Pages) in a logic and scrapper get values (extracting) from HTML. . Generally, crawlers would follow the links to reach numerous pages while scrapers is, in some sense, just pulling the contents displayed online and would not reach the deeper links. . Scrapers and crawlers do not always distinguish, I mean - you can find crawlers which scrape, in fact, Scraper Crawler is doing both and is named accordingly:"
23,What should I use to open a url instead of urlopen in urllib3,"I wanted to write a piece of code like the following:

from bs4 import BeautifulSoup
import urllib2

url = 'http://www.thefamouspeople.com/singers.php'
html = urllib2.urlopen(url)
soup = BeautifulSoup(...",https://stackoverflow.com/questions/36516183/what-should-i-use-to-open-a-url-instead-of-urlopen-in-urllib3,". I wanted to write a piece of code like the following:. urllib3 is a different library from urllib and urllib2. It has lots of additional features to the urllibs in the standard library, if you need them, things like re-using connections. The documentation is here: https://urllib3.readthedocs.org/. You do not have to install urllib3. You can choose any HTTP-request-making library that fits your needs and feed the response to BeautifulSoup. The choice is though usually requests because of the rich feature set and convenient API. You can install requests by entering pip install requests in the command line. Here is a basic example:. The new urllib3 library has a nice documentation here
In order to get your desired result you shuld follow that:. With gazpacho you could pipeline the page straight into a parse-able soup object:"
24,Save and render a webpage with PhantomJS and node.js,"I'm looking for an example of requesting a webpage, waiting for the JavaScript to render (JavaScript modifies the DOM), and then grabbing the HTML of the page.

This should be a simple example with an ...",https://stackoverflow.com/questions/9966826/save-and-render-a-webpage-with-phantomjs-and-node-js,". I'm looking for an example of requesting a webpage, waiting for the JavaScript to render (JavaScript modifies the DOM), and then grabbing the HTML of the page.. From your comments, I'd guess you have 2 options. With v2 of phantomjs-node it's pretty easy to print the HTML after it has been processed. . I've used two different ways in the past, including the page.evaluate() method that queries the DOM that Declan mentioned. The other way I've passed info from the web page is to spit it out to console.log() from there, and in the phantomjs script use:. Why not just use this ? . Late update in case anyone stumbles on this question:. Here's an old version that I use running node, express and phantomjs which saves out the page as a .png. You could tweak it fairly quickly to get the html."
25,"How to “scan” a website (or page) for info, and bring it into my program?","Well, I'm pretty much trying to figure out how to pull information from a webpage, and bring it into my program (in Java). 

For example, if I know the exact page I want info from, for the sake of ...",https://stackoverflow.com/questions/2835505/how-to-scan-a-website-or-page-for-info-and-bring-it-into-my-program,". Well, I'm pretty much trying to figure out how to pull information from a webpage, and bring it into my program (in Java). . Use a HTML parser like Jsoup. This has my preference above the other HTML parsers available in Java since it supports jQuery like CSS selectors. Also, its class representing a list of nodes, Elements, implements Iterable so that you can iterate over it in an enhanced for loop (so there's no need to hassle with verbose Node and NodeList like classes in the average Java DOM parser).. This is referred to as screen scraping, wikipedia has this article on the more specific web scraping. It can be a major challenge because there's some ugly, mess-up, broken-if-not-for-browser-cleverness HTML out there, so good luck. . I would use JTidy - it is simlar to JSoup, but I don't know JSoup well. JTidy handles broken HTML and returns a w3c Document, so you can use this as a source to XSLT to extract the content you are really interested in. If you don't know XSLT, then you might as well go with JSoup, as the Document model is nicer to work with than w3c.. You may use an html parser (many useful links here: java html parser).. jsoup supports java 1.5. You'd probably want to look at the HTML to see if you can find strings that are unique and near your text, then you can use line/char-offsets to get to the data.. You could also try jARVEST.. My answer won't probably be useful to the writer of this question (I am 8 months late so not the right timing I guess) but I think it will probably be useful for many other developers that might come across this answer.. JSoup solution is great, but if you need to extract just something really simple it may be easier to use regex or String.indexOf. Look into the cURL library.  I've never used it in Java, but I'm sure there must be bindings for it.  Basically, what you'll do is send a cURL request to whatever page you want to 'scrape'.  The request will return a string with the source code to the page.  From there, you will use regex to parse whatever data you want from the source code.  That's generally how you are going to do it."
