,question,summary,link,answers
10,How to count the occurrence of certain item in an ndarray?,"In Python, I have an ndarray y
that is printed as array([0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1])

I'm trying to count how many 0s and how many 1s are there in this array. 

But when I type y.count(0) or ...",https://stackoverflow.com/questions/28663856/how-to-count-the-occurrence-of-certain-item-in-an-ndarray,"['In Python, I have an ndarray y\nthat is printed as array([0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1])', 'Non-numpy way:', 'What about using numpy.count_nonzero, something like', ""Personally, I'd go for:\n(y == 0).sum() and (y == 1).sum()"", 'For your case you could also look into numpy.bincount', 'Convert your array y to list l and then do l.count(1) and l.count(0)', 'If you know that they are just 0 and 1:', ""If you know exactly which number you're looking for, you can use the following;"", 'Honestly I find it easiest to convert to a pandas Series or DataFrame:', 'What about len(y[y==0]) and len(y[y==1]) ?', 'No one suggested to use numpy.bincount(input, minlength) with minlength = np.size(input), but it seems to be a good solution, and definitely the fastest:', ""I'd use np.where:"", 'y.tolist().count(val)', 'Yet another simple solution might be to use numpy.count_nonzero():', 'To count the number of occurrences, you can use np.unique(array, return_counts=True):', 'take advantage of the methods offered by a Series:', 'A general and simple answer would be:', 'You can use dictionary comprehension to create a neat one-liner. More about dictionary comprehension can be found here', 'You have a special array with only 1 and 0 here. So a trick is to use', 'Try this:', 'If you are interested in the fastest execution, you know in advance which value(s) to look for, and your array is 1D, or you are otherwise interested in the result on the flattened array (in which case the input of the function should be np.flatten(arr) rather than just arr), then Numba is your friend:', 'It involves one more step, but a more flexible solution which would also work for 2d arrays and more complicated filters is to create a boolean mask and then use .sum() on the mask.', 'This can be done easily in the following method', 'Since your ndarray contains only 0 and 1, \nyou can use sum() to get the occurrence of 1s \nand len()-sum() to get the occurrence of 0s.', ""Just copied  Seppo Enarvi's comment here which deserves to be a proper answer"", ""If you don't want to use numpy or a collections module you can use a dictionary:"", 'For generic entries:', 'here I have something, through which you can count the number of occurrence of a particular number:\naccording to your code', 'if you are dealing with very large arrays using generators could be an option. The nice thing here it that this approach works fine for both arrays and lists and you dont need any additional package. Additionally, you are not using that much memory.', 'This funktion returns the number of occurences of a variable in an array:', 'Numpy has a module for this. Just a small hack. Put your input array as bins.']"
11,Simple Digit Recognition OCR in OpenCV-Python,"I am trying to implement a ""Digit Recognition OCR"" in OpenCV-Python (cv2). It is just for learning purposes. I would like to learn both KNearest and SVM features in OpenCV. 

I have 100 samples (i.e. ...",https://stackoverflow.com/questions/9413216/simple-digit-recognition-ocr-in-opencv-python,"['I am trying to implement a ""Digit Recognition OCR"" in OpenCV-Python (cv2). It is just for learning purposes. I would like to learn both KNearest and SVM features in OpenCV.', 'Well, I decided to workout myself on my question to solve above problem. What I wanted is to implement a simpl OCR using KNearest or SVM features in OpenCV. And below is what I did and how. ( it is just for learning how to use KNearest for simple OCR purposes).', 'For those who interested in C++ code can refer below code. \nThanks Abid Rahman for the nice explanation.']"
12,Most efficient way to map function over numpy array,"What is the most efficient way to map a function over a numpy array? The way I've been doing it in my current project is as follows:

import numpy as np 

x = np.array([1, 2, 3, 4, 5])

# Obtain array ...",https://stackoverflow.com/questions/35215161/most-efficient-way-to-map-function-over-numpy-array,"[""What is the most efficient way to map a function over a numpy array? The way I've been doing it in my current project is as follows:"", ""I've tested all suggested methods plus np.array(map(f, x)) with perfplot (a small project of mine)."", 'How about using numpy.vectorize.', 'As noted by @user2357112, a ""direct"" method of applying the function is always the fastest and simplest way to map a function over Numpy arrays:', 'There are numexpr, numba and cython around, the goal of this answer is to take these possibilities into consideration.', 'Arithmetic operations on arrays are automatically applied elementwise, with efficient C-level loops that avoid all the interpreter overhead that would apply to a Python-level loop or comprehension.', 'It seems no one has mentioned a built-in factory method of producing ufunc in numpy package: np.frompyfunc which I have tested again np.vectorize and have outperformed it by about 20~30%. Of course it will perform well as prescribed C code or even numba(which I have not tested), but it can a better alternative than np.vectorize', 'Edit: the original answer was misleading, np.sqrt was applied directly to the array, just with a small overhead.', 'I believe in newer version( I use 1.13) of numpy you can simply call the function by passing the numpy array to the fuction that you wrote for scalar type, it will automatically apply the function call to each element over the numpy array and return you another numpy array', 'As mentioned in this post, just use generator expressions like so:', 'All above answers compares well, but if you need to use custom function for mapping, and you have numpy.ndarray, and you need to retain the shape of array.', 'Use numpy.fromfunction(function, shape, **kwargs)']"
13,Numpy array dimensions,"I'm currently trying to learn Numpy and Python. Given the following array:

import numpy as np
a = np.array([[1,2],[1,2]])
Is there a function that returns the dimensions of a (e.g.a is a 2 by 2 ...",https://stackoverflow.com/questions/3061761/numpy-array-dimensions,"[""I'm currently trying to learn Numpy and Python. Given the following array:"", 'It is .shape:', 'By convention, in Python world, the shortcut for numpy is np, so:', 'Also works if the input is not a numpy array but a list of lists', 'You can use .shape', 'You can use .ndim for dimension and .shape to know the exact dimension', 'The shape method requires that a be a Numpy ndarray. But Numpy can also calculate the shape of iterables of pure python objects:', 'a.shape is just a limited version of np.info(). Check this out:']"
14,Pandas read_csv low_memory and dtype options,"When calling

df = pd.read_csv('somefile.csv')
I get:
  /Users/josh/anaconda/envs/py27/lib/python2.7/site-packages/pandas/io/parsers.py:1130:
  DtypeWarning: Columns (4,5,7,16) have mixed types.  ...",https://stackoverflow.com/questions/24251219/pandas-read-csv-low-memory-and-dtype-options,"['When calling', 'The low_memory option is not properly deprecated, but it should be, since it does not actually do anything differently[source]', 'Try:', 'This should solve the issue. I got exactly the same error, when reading 1.8M rows from a CSV.', 'As mentioned earlier by firelynx if dtype is explicitly specified and there is mixed data that is not compatible with that dtype then loading will crash. I used a converter like this as a workaround to change the values with incompatible data type so that the data could still be loaded.', ""I had a similar issue with a ~400MB file. Setting low_memory=False did the trick for me. Do the simple things first,I would check that your dataframe isn't bigger than your system memory, reboot, clear the RAM before proceeding. If you're still running into errors, its worth making sure your .csv file is ok, take a quick look in Excel and make sure there's no obvious corruption. Broken original data can wreak havoc..."", 'It worked for me with low_memory = False while importing a DataFrame. That is all the change that worked for me:', 'I was facing a similar issue when processing a huge csv file (6 million rows). I had three issues:\n1. the file contained strange characters (fixed using encoding)\n2. the datatype was not specified (fixed using dtype property)\n3. Using the above I still faced an issue which was related with the file_format that could not be defined based on the filename (fixed using try .. except..)', ""According to the pandas documentation, specifying low_memory=False as long as the engine='c' (which is the default) is a reasonable solution to this problem."", 'As the error says, you should specify the datatypes when using the read_csv() method.\nSo, you should write']"
15,What are the differences between numpy arrays and matrices? Which one should I use?,"What are the advantages and disadvantages of each?

From what I've seen, either one can work as a replacement for the other if need be, so should I bother using both or should I stick to just one of ...",https://stackoverflow.com/questions/4151128/what-are-the-differences-between-numpy-arrays-and-matrices-which-one-should-i-u,"['What are the advantages and disadvantages of each?', ""As per the official documents, it's not anymore advisable to use matrix class since it will be removed in the future."", 'Numpy matrices are strictly 2-dimensional, while numpy arrays (ndarrays) are\nN-dimensional.  Matrix objects are a subclass of ndarray, so they inherit all\nthe attributes and methods of ndarrays.', 'Scipy.org recommends that you use arrays:', ""Just to add one case to unutbu's list."", 'As others have mentioned, perhaps the main advantage of matrix was that it provided a convenient notation for matrix multiplication.']"
16,Sorting arrays in NumPy by column,"How can I sort an array in NumPy by the nth column?

For example,

a = array([[9, 2, 3],
           [4, 5, 6],
           [7, 0, 5]])
I'd like to sort rows by the second column, such that I get back:
...",https://stackoverflow.com/questions/2828059/sorting-arrays-in-numpy-by-column,"['How can I sort an array in NumPy by the nth column?', ""@steve's answer is actually the most elegant way of doing it."", 'I suppose this works: a[a[:,1].argsort()]', ""You can sort on multiple columns as per Steve Tjoa's method by using a stable sort like mergesort and sorting the indices from the least significant to the most significant columns:"", 'From the Python documentation wiki, I think you can do:', ""In case someone wants to make use of sorting at a critical part of their programs here's a performance comparison for the different proposals:"", ""From the NumPy mailing list, here's another solution:"", 'I had a similar problem.', 'A little more complicated lexsort example - descending on the 1st column, secondarily ascending on the 2nd.  The tricks with lexsort are that it sorts on rows (hence the .T), and gives priority to the last.', 'Desired output is [[6,5,4,3,2],[11,10,9,8,7],[16,15,14,13,12],[21,20,19,18,17]]', ""Here is another solution considering all columns (more compact way of J.J's answer);"", 'Simply using sort, use coloumn number based on which you want to sort.', 'It is an old question but if you need to generalize this to a higher than 2 dimension arrays, here is the solution than can be easily generalized:', '#for sorting along column 1']"
17,"pandas create new column based on values from other columns / apply a function of multiple columns, row-wise","I want to apply my custom function (it uses an if-else ladder) to these six columns (ERI_Hispanic, ERI_AmerInd_AKNatv, ERI_Asian, ERI_Black_Afr.Amer, ERI_HI_PacIsl, ERI_White) in each row of my ...",https://stackoverflow.com/questions/26886653/pandas-create-new-column-based-on-values-from-other-columns-apply-a-function-o,"['I want to apply my custom function (it uses an if-else ladder) to these six columns (ERI_Hispanic, ERI_AmerInd_AKNatv, ERI_Asian, ERI_Black_Afr.Amer, ERI_HI_PacIsl, ERI_White) in each row of my dataframe.', ""OK, two steps to this - first is to write a function that does the translation you want - I've put an example together based on your pseudo-code:"", ""Since this is the first Google result for 'pandas new column from others', here's a simple example:"", 'The answers above are perfectly valid, but a vectorized solution exists, in the form of numpy.select.  This allows you to define conditions, then define outputs for those conditions, much more efficiently than using apply:', '.apply() takes in a function as the first parameter; pass in the label_race function as so:', 'try this,']"
18,Find nearest value in numpy array,"Is there a numpy-thonic way, e.g. function, to find the nearest value in an array? 

Example:

np.find_nearest( array, value )",https://stackoverflow.com/questions/2566412/find-nearest-value-in-numpy-array,"['Is there a numpy-thonic way, e.g. function, to find the nearest value in an array?', 'IF your array is sorted and is very large, this is a much faster solution:', 'With slight modification, the answer above works with arrays of arbitrary dimension (1d, 2d, 3d, ...):', 'Summary of answer: If one has a sorted array then the bisection code (given below) performs the fastest. ~100-1000 times faster for large arrays, and ~2-100 times faster for small arrays. It does not require numpy either. \nIf you have an unsorted array then if array is large, one should consider first using an O(n logn) sort and then bisection, and if array is small then method 2 seems the fastest.', ""Here's an extension to find the nearest vector in an array of vectors."", ""If you don't want to use numpy this will do it:"", 'Here\'s a version that will handle a non-scalar ""values"" array:', 'Here is a version with scipy for @Ari Onasafari, answer ""to find the nearest vector in an array of vectors""', ""Here is a fast vectorized version of @Dimitri's solution if you have many values to search for (values can be multi-dimensional array):"", ""For large arrays, the (excellent) answer given by @Demitri is far faster than the answer currently marked as best. I've adapted his exact algorithm in the following two ways:"", ""This is a vectorized version of unutbu's answer:"", 'I think the most pythonic way would be:', 'All the answers are beneficial to gather the information to write efficient code. However, I have written a small Python script to optimize for various cases. It will be the best case if the provided array is sorted. If one searches the index of the nearest point of a specified value, then bisect module is the most time efficient. When one search the indices correspond to an array, the numpy searchsorted is most efficient.', 'Maybe helpful for ndarrays:', 'For 2d array, to determine the i, j position of nearest element:']"
19,How to pretty-print a numpy.array without scientific notation and with given precision?,"I'm curious, whether there is any way to print formatted numpy.arrays, e.g., in a way similar to this:

x = 1.23456
print '%.3f' % x
If I want to print the numpy.array of floats, it prints several ...",https://stackoverflow.com/questions/2891790/how-to-pretty-print-a-numpy-array-without-scientific-notation-and-with-given-pre,"[""I'm curious, whether there is any way to print formatted numpy.arrays, e.g., in a way similar to this:"", 'You can use set_printoptions to set the precision of the output:', 'You can get a subset of the np.set_printoptions functionality from the np.array_str command, which applies only to a single print statement.', 'Unutbu gave a really complete answer (they got a +1 from me too), but here is a lo-tech alternative:', 'FYI Numpy 1.15 (release date pending) will include a context manager for setting print options locally. This means that the following will work the same as the corresponding example in the accepted answer (by unutbu and Neil G) without having to write your own context manager. E.g., using their example:', ""The gem that makes it all too easy to obtain the result as a string (in today's numpy versions) is hidden in denis answer:\nnp.array2string"", 'Years later, another one is below. But for everyday use I just', ""And here is what I use, and it's pretty uncomplicated:"", 'Was surprised to not see around method mentioned - means no messing with print options.', 'The numpy arrays have the method round(precision) which return a new numpy array with elements rounded accordingly.', 'I often want different columns to have different formats.  Here is how I print a simple 2D array using some variety in the formatting by converting (slices of) my NumPy array to a tuple:', 'I find that the usual float format {:9.5f} works properly -- suppressing small-value e-notations -- when displaying a list or an array using a loop.  But that format sometimes fails to suppress its e-notation when a formatter has several items in a single print statement.  For example:', 'I use', 'numpy.char.mod may also be useful, depending on the details of your application e.g.:numpy.char.mod(\'Value=%4.2f\', numpy.arange(5, 10, 0.1)) will return a string array with elements ""Value=5.00"", ""Value=5.10"" etc. (as a somewhat contrived example).', 'Yet another option is to use the decimal module:']"
20,Pandas conditional creation of a series/dataframe column,"I have a dataframe along the lines of the below:
    Type       Set
1    A          Z
2    B          Z           
3    B          X
4    C          Y

I want to add another column to the dataframe (...",https://stackoverflow.com/questions/19913659/pandas-conditional-creation-of-a-series-dataframe-column,"['I have a dataframe along the lines of the below:', 'If you only have two choices to select from:', 'List comprehension is another way to create another column conditionally. If you are working with object dtypes in columns, like in your example, list comprehensions typically outperform most other methods.', 'Another way in which this could be achieved is', ""Here's yet another way to skin this cat, using a dictionary to map new values onto the keys in the list:"", 'The following is slower than the approaches timed here, but we can compute the extra column based on the contents of more than one column, and more than two values can be computed for the extra column.', 'Maybe this has been possible with newer updates of Pandas (tested with pandas=1.0.5), but I think the following is the shortest and maybe best answer for the question, so far. You can use the .loc method and use one condition or several depending on your need.', 'One liner with .apply() method is following:', ""If you're working with massive data, a memoized approach would be best:""]"
21,"Difference between numpy.array shape (R, 1) and (R,)","In numpy, some of the operations return in shape (R, 1) but some return (R,). This will make matrix multiplication more tedious since explicit reshape is required. For example, given a matrix M, if we ...",https://stackoverflow.com/questions/22053050/difference-between-numpy-array-shape-r-1-and-r,"['In numpy, some of the operations return in shape (R, 1) but some return (R,). This will make matrix multiplication more tedious since explicit reshape is required. For example, given a matrix M, if we want to do numpy.dot(M[:,0], numpy.ones((1, R))) where R is the number of rows (of course, the same issue also occurs column-wise). We will get matrices are not aligned error since M[:,0] is in shape (R,) but numpy.ones((1, R)) is in shape (1, R).', 'You write, ""I know literally it\'s list of numbers and list of lists where all list contains only a number"" but that\'s a bit of an unhelpful way to think about it.', ""The difference between (R,) and (1,R) is literally the number of indices that you need to use.  ones((1,R)) is a 2-D array that happens to have only one row.  ones(R) is a vector.  Generally if it doesn't make sense for the variable to have more than one row/column, you should be using a vector, not a matrix with a singleton dimension."", 'The shape is a tuple. If there is only 1 dimension the shape will be one number and just blank after a comma. For 2+ dimensions, there will be a number after all the commas.', 'For its base array class, 2d arrays are no more special than 1d or 3d ones.  There are some operations the preserve the dimensions, some that reduce them, other combine or even expand them.', ""1) The reason not to prefer a shape of (R, 1) over (R,) is that it unnecessarily complicates things. Besides, why would it be preferable to have shape (R, 1) by default for a length-R vector instead of (1, R)? It's better to keep it simple and be explicit when you require additional dimensions."", 'There are a lot of good answers here already. But for me it was hard to find some example, where the shape or array can break all the program.']"
22,What is the purpose of meshgrid in Python / NumPy?,"Can someone explain to me what is the purpose of meshgrid function in Numpy? I know it creates some kind of grid of coordinates for plotting, but I can't really see the direct benefit of it.

I am ...",https://stackoverflow.com/questions/36013063/what-is-the-purpose-of-meshgrid-in-python-numpy,"[""Can someone explain to me what is the purpose of meshgrid function in Numpy? I know it creates some kind of grid of coordinates for plotting, but I can't really see the direct benefit of it."", 'The purpose of meshgrid is to create a rectangular grid out of an array of x values and an array of y values.', 'Courtesy of Microsoft Excel:', 'Actually the purpose of np.meshgrid is already mentioned in the documentation:', 'Suppose you have a function:', 'meshgrid helps in creating a rectangular grid from two 1-D arrays of all pairs of points from the two arrays.', ""Given possible x values, xs, (think of them as the tick-marks on the x-axis of a plot) and possible y values, ys, meshgrid generates the corresponding set of (x, y) grid points---analogous to set((x, y) for x in xs for y in yx).  For example, if xs=[1,2,3] and ys=[4,5,6], we'd get the set of coordinates {(1,4), (2,4), (3,4), (1,5), (2,5), (3,5), (1,6), (2,6), (3,6)}."", 'Short answer']"
23,How do I create an empty array/matrix in NumPy?,"I can't figure out how to use an array or matrix in the way that I would normally use a list. I want to create an empty array (or matrix) and then add one column (or row) to it at a time.

At the ...",https://stackoverflow.com/questions/568962/how-do-i-create-an-empty-array-matrix-in-numpy,"[""I can't figure out how to use an array or matrix in the way that I would normally use a list. I want to create an empty array (or matrix) and then add one column (or row) to it at a time."", 'You have the wrong mental model for using NumPy efficiently. NumPy arrays are stored in contiguous blocks of memory. If you want to add rows or columns to an existing array, the entire array needs to be copied to a new block of memory, creating gaps for the new elements to be stored. This is very inefficient if done repeatedly to build an array.', 'A NumPy array is a very different data structure from a list and is designed to be used in different ways.  Your use of hstack is potentially very inefficient... every time you call it, all the data in the existing array is copied into a new one. (The append function will have the same issue.)  If you want to build up your matrix one column at a time, you might be best off to keep it in a list until it is finished, and only then convert it into an array.', ""To create an empty multidimensional array in NumPy (e.g. a 2D array m*n to store your matrix), in case you don't know m how many rows you will append and don't care about the computational cost Stephen Simmons mentioned (namely re-buildinging the array at each append), you can squeeze to 0 the dimension to which you want to append to: X = np.empty(shape=[0, n])."", ""I looked into this a lot because I needed to use a numpy.array as a set in one of my school projects and I needed to be initialized empty... I didn't found any relevant answer here on Stack Overflow, so I started doodling something."", 'You can use the append function.  For rows:', 'Here is some workaround to make numpys look more like Lists', ""If you absolutely don't know the final size of the array, you can increment the size of the array like this:"", 'You can apply it to build any kind of array, like zeros:', ""Depending on what you are using this for, you may need to specify the data type (see 'dtype')."", 'I think you want to handle most of the work with lists then use the result as a matrix. Maybe this is a way ;', 'I think you can create empty numpy array like:', 'For creating an empty NumPy array without defining its shape there is to way:', 'Perhaps what you are looking for is something like this:']"
